,density,DH_mix,DS_mix,T_m,delta,D_elneg,VEC,lattice
87,6.92,-6.56,13.38,1593.45,5.19,0.13,7.8,multi-phase
88,7.54,-6.92,12.26,1876.8,3.15,0.11,7.53,multi-phase
89,7.33,-9.09,13.15,1767.5,4.22,0.11,7.67,multi-phase
90,7.0,-10.9,13.33,1723.6,4.83,0.12,7.42,multi-phase
91,6.86,-11.66,13.37,1703.34,5.06,0.12,7.31,multi-phase
92,6.54,-13.1,13.36,1659.41,5.46,0.12,7.06,multi-phase
93,6.47,-13.42,13.35,1648.35,5.55,0.12,7.0,multi-phase
94,6.25,-14.28,13.25,1615.86,5.76,0.13,6.82,multi-phase
95,6.72,-12.32,13.38,1684.09,5.25,0.12,7.2,multi-phase
96,5.57,-16.09,12.63,1510.87,6.19,0.13,6.23,multi-phase
97,5.87,-15.44,12.98,1558.99,6.04,0.13,6.5,multi-phase
98,5.32,-16.41,12.26,1469.63,6.26,0.13,6.0,multi-phase
99,7.06,-5.28,13.38,1519.65,5.25,0.11,8.2,multi-phase
100,6.78,-13.92,13.38,1551.89,5.37,0.15,7.4,multi-phase
101,7.11,-12.74,13.15,1708.55,5.93,0.16,7.33,multi-phase
102,7.95,-0.363,12.14,1721.55,2.93,0.11,8.71,multi-phase
103,7.62,-2.51,12.6,1685.73,3.82,0.11,8.45,multi-phase
104,7.27,-4.61,12.88,1646.82,4.5,0.12,8.17,multi-phase
105,6.79,-7.24,13.02,1590.2,5.19,0.13,7.76,multi-phase
106,6.63,-8.05,13.01,1570.0,5.38,0.13,7.62,multi-phase
107,7.07,-5.78,12.98,1623.04,4.82,0.12,8.0,multi-phase
108,6.27,-9.63,12.89,1524.53,5.71,0.13,7.29,multi-phase
109,5.72,-11.5,12.42,1450.65,6.04,0.14,6.75,multi-phase
110,7.23,-5.51,12.32,1758.03,3.32,0.13,7.19,multi-phase
111,6.96,-7.26,12.66,1721.39,4.04,0.13,7.0,multi-phase
112,6.61,-9.32,12.9,1672.14,4.73,0.13,6.75,multi-phase
113,5.98,-12.33,12.86,1578.13,5.55,0.12,6.27,multi-phase
114,5.3,-17.98,13.25,1609.31,6.41,0.1,5.36,multi-phase
115,5.87,-12.07,12.71,1630.29,5.78,0.11,5.88,multi-phase
116,5.15,-14.8,12.14,1497.56,6.07,0.1,5.33,multi-phase
117,4.7,-15.31,11.31,1407.31,6.02,0.09,4.96,multi-phase
118,4.39,-14.99,10.51,1341.95,5.86,0.08,4.69,multi-phase
119,5.06,-19.0,12.98,1552.99,6.33,0.1,5.17,multi-phase
120,6.98,-11.83,12.83,1902.8,3.96,0.12,6.95,multi-phase
121,6.73,-13.14,13.15,1859.72,4.39,0.12,6.78,multi-phase
122,6.57,-13.6,13.38,2140.09,4.87,0.23,4.8,multi-phase
123,5.09,-34.08,13.38,1927.49,8.01,0.23,4.6,multi-phase
124,5.85,-13.75,13.25,2014.09,5.55,0.04,4.73,multi-phase
125,5.75,-14.56,13.38,1997.49,5.19,0.04,4.6,multi-phase
126,2.96,-3.65,12.31,894.75,7.42,0.31,3.69,multi-phase
127,2.75,-3.3,12.31,844.13,6.51,0.26,4.28,multi-phase
128,2.91,-1.14,6.47,918.13,3.85,0.17,3.7,multi-phase
129,4.33,-6.4,13.38,1260.23,7.47,0.17,5.8,multi-phase
130,2.67,-0.4,12.95,1314.83,5.2,0.23,2.8,multi-phase
131,2.9,-3.89,12.31,790.83,5.49,0.27,3.84,multi-phase
132,3.89,-6.08,13.38,701.58,5.16,0.33,4.4,multi-phase
133,3.05,-0.53,6.47,875.5,3.36,0.17,3.35,multi-phase
